TrialNumber,Trial_num,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,ran,order,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
1,1,0,$2.00 ,-$0.75,$0.00 ,won,$2.00,1.5,1.5,1,1.0,0.0,92.54122,5.0,94.54184,95.21623,2.0006187,0.000618766,0.6743889,95.32107,0.7792241,-1.220776,98.25121,2.925611,2.930147,0.004535905,98.257454,1.000249,0.00024903502,99.257706,6.716482,99.26549,got here,100.76668,1.5,1.5011916,0.001191627
2,2,0,$5.00 ,-$3.13,$0.00 ,lost,-$3.13,1.5,1.5,1,1.0,1.0,100.782814,5.0,102.789116,102.913475,2.0063045,0.006304411,0.12435588,103.01803,0.2289075,-1.7710925,106.49775,3.475644,3.4797215,0.004077344,106.504234,1.00102,0.001019974,107.50526,6.722443,107.51336,got here,109.01365,1.5,1.5002867,0.000286693
3,3,0,$12.00 ,-$9.00,$0.00 ,lost,-$9.00,5,1.5,1,1.0,2.0,109.02822,6.0,111.036095,111.38547,2.0078743,0.007874243,0.3493707,111.49128,0.4551886,-1.5448114,118.25432,6.7506294,6.7630363,0.012406919,118.259766,1.0002974,0.000297477,119.26006,10.231841,119.26781,got here,120.76917,1.5,1.5013644,0.001364365
4,4,0,$7.81 ,$0.00,$4.10 ,lost,$0.00,5,3,1,1.0,3.0,120.786934,1.0,122.79182,123.141495,2.0048842,0.004884128,0.34967792,123.246025,0.45420346,-1.5457965,130.0002,6.750322,6.7541747,0.003852812,130.00734,1.0012628,0.001262792,131.0086,10.221671,131.01372,got here,134.01442,3.0,3.0007021,0.000702205
5,5,0,$21.43 ,$0.00,$13.29 ,won,$21.43,1.5,1.5,1,1.0,4.0,134.02824,6.0,136.02907,136.48802,2.000825,0.000824925,0.4589566,136.59265,0.5635823,-1.4364177,139.74667,3.1410434,3.1540265,0.012983187,139.75462,1.0012599,0.00125988,140.75589,6.7276387,140.76222,got here,142.26236,1.5,1.5001335,0.00013351301
6,6,0,$8.80 ,$0.00,$3.60 ,lost,$0.00,5,3,1,1.0,5.0,142.27681,6.0,144.27824,144.62755,2.0014393,0.001439218,0.34929824,144.73277,0.45453256,-1.5454674,151.49585,6.750702,6.763071,0.012369111,151.50015,1.0011829,0.001182934,152.50134,10.224536,152.50832,got here,155.50954,3.0,3.001217,0.001216999
7,7,0,$5.00 ,-$1.88,$0.00 ,lost,-$1.88,3,1.5,1,1.0,6.0,155.52429,1.0,157.53223,157.87321,2.0079467,0.007946795,0.3409832,157.97765,0.4454078,-1.5545923,162.74188,4.759017,4.764246,0.005229232,162.7481,1.001207,0.001206992,163.7493,8.225012,163.75601,got here,165.25726,1.5,1.5012536,0.001253588
8,8,0,$13.35 ,$0.00,$1.32 ,lost,$0.00,1.5,5,1,1.0,7.0,165.27223,6.0,167.27945,167.6293,2.007216,0.007216072,0.34985253,167.73428,0.4548409,-1.5451591,170.99747,3.2501476,3.2631876,0.013040279,171.0027,1.0011426,0.001142585,172.00385,6.7316165,172.01106,got here,177.01219,5.0,5.001132,0.00113217
9,9,0,$4.00 ,-$7.00,$0.00 ,won,$4.00,1.5,3,1,1.0,8.0,177.02695,6.0,179.02711,179.37679,2.0001686,0.00016849802,0.34966865,179.48125,0.45413452,-1.5458654,182.73634,3.2503314,3.2550988,0.0047675758,182.7418,1.001228,0.0012280049,183.74304,6.716099,183.75008,got here,186.75127,3.0,3.001185,0.001184937
10,10,0,$4.00 ,-$2.00,$0.00 ,won,$4.00,1.5,7,1,1.0,9.0,186.7639,6.0,188.76566,189.13206,2.0017548,0.001754804,0.36641094,189.23659,0.47092897,-1.5290711,192.47446,3.2335892,3.237876,0.004286799,192.48096,1.0011715,0.00117146,193.48212,6.7182264,193.48912,got here,200.48936,7.0,7.0002394,0.000239146
