TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,Partner,ran,order,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift
1,1,$2.00 ,($0.75),$0.00 ,won,$2.00 ,1.5,1.5,1,0,1.0,0.0,4.12216,999.0,6.1226707,8.138592,2.000511,0.0005109669,0.0,8.147803,2.0251322,0.02513213,11.65523,3.5,3.5074267,0.007426678,11.671512,1.0003151,0.00031504594,12.671827,8.549667,12.67338,got here,14.189327,1.5,1.515947,0.015947
2,2,$5.00 ,($3.13),$0.00 ,lost,($3.13),1.5,1.5,1,0,1.0,1.0,14.2046585,1.0,16.20502,16.687117,2.0003624,0.0003623031,0.48209593,17.192429,0.9874079,-1.0125921,20.22225,3.017904,3.0298212,0.011917073,20.237679,1.0011364,0.0011364261,21.238815,7.0341578,21.240149,got here,22.75601,1.5,1.5158628,0.015862802
3,3,$12.00 ,($9.00),$0.00 ,lost,($9.00),5,1.5,1,0,1.0,2.0,22.771006,2.0,24.772146,26.053905,2.001141,0.001141163,1.2817594,26.55962,1.7874746,-0.21252534,32.29008,5.7182407,5.730462,0.0122214295,32.30464,1.0011833,0.0011832679,33.305824,10.534821,33.307083,got here,34.822174,1.5,1.5150915,0.015091542
4,4,$7.81 ,$0.00 ,$4.10 ,lost,$0.00 ,5,3,1,0,1.0,3.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,$21.43 ,$0.00 ,$13.29 ,won,$21.43 ,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,$8.80 ,$0.00 ,$3.60 ,lost,$0.00 ,5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,$5.00 ,($1.88),$0.00 ,lost,($1.88),3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,$13.35 ,$0.00 ,$1.32 ,lost,$0.00 ,1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,$4.00 ,($7.00),$0.00 ,won,$4.00 ,1.5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,$4.00 ,($2.00),$0.00 ,won,$4.00 ,1.5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,$10.00 ,($3.75),$0.00 ,lost,($3.75),5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,$10.00 ,($6.25),$0.00 ,won,$10.00 ,3,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,$6.00 ,($10.50),$0.00 ,lost,($10.50),3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,$12.00 ,($21.00),$0.00 ,won,$12.00 ,3,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,$6.00 ,($9.00),$0.00 ,lost,($9.00),1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,$32.00 ,$0.00 ,$0.00 ,lost,$0.00 ,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,$4.00 ,($0.67),$0.00 ,won,$4.00 ,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,$8.00 ,$0.00 ,$4.00 ,lost,$0.00 ,1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,$10.00 ,($11.25),$0.00 ,lost,($11.25),3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
20,20,$5.00 ,($2.50),$0.00 ,lost,($2.50),3,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
21,21,$6.00 ,($4.50),$0.00 ,won,$6.00 ,5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
22,22,$22.40 ,$0.00 ,$4.80 ,won,$22.40 ,3,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
23,23,$14.49 ,$0.00 ,$8.75 ,won,$14.49 ,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
24,24,$4.00 ,($0.33),$0.00 ,won,$4.00 ,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
25,25,$2.00 ,($3.75),$0.00 ,won,$2.00 ,1.5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
26,26,$9.00 ,($4.50),$0.00 ,won,$9.00 ,1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
27,27,$12.00 ,($12.00),$0.00 ,won,$12.00 ,5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
