TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI_s,ITI_s,block,Partner,ran,order,onset,bpress,resp,resp_onset,rt,ISIpad,ISI_onset,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,$4.00 ,-$7.00,$0.00 ,won,$4.00,1.5,1.5,1,0,1.0,0.0,6.678931,1.0,won,8.685972,2.0070412,-0.007041114,9.226327,10.730008,1.4929589,1.5036808,0.010721966,10.740083,12.75261,6.073679,12.762943,14.269053
2,2,$2.00 ,-$3.75,$0.00 ,lost,-$3.75,1.5,1.5,1,0,1.0,1.0,14.274392,2.0,$0.00 ,16.286001,2.0116084,-0.011608457,16.823645,18.323887,1.4883915,1.5002407,0.01184909,18.325062,20.336065,6.061674,20.346294,21.853622
3,3,$8.00 ,-$1.33,$0.00 ,lost,-$1.33,5,1.5,1,0,1.0,2.0,21.858347,999.0,999,23.87429,0.0,0.0,23.881033,30.90397,7.0,7.022938,0.02293763,30.905134,32.920128,11.06178,33.650566,35.169807
4,4,$5.00 ,-$3.13,$0.00 ,lost,-$3.13,5,3,1,0,1.0,3.0,35.172913,999.0,999,37.18522,0.0,0.0,37.19128,44.20322,7.0,7.0119367,0.011936763,44.20438,46.21912,11.046208,46.22942,49.236137
5,5,$8.00 ,-$11.00,$0.00 ,won,$8.00,1.5,1.5,1,0,1.0,4.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,$4.00 ,-$0.67,$0.00 ,lost,-$0.67,5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,$2.00 ,-$0.75,$0.00 ,lost,-$0.75,3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
﻿TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI_s,ITI_s,block,Partner,ran,order,onset,bpress,resp,resp_onset,rt,ISIpad,ISI_onset,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_offset,duration,ITI_onset,ITI_offset
1,1,$4.00 ,-$7.00,$0.00 ,won,$4.00,1.5,1.5,1,0,1.0,0.0,4.575335,2.0,$0.00 ,8.583013,4.0076776,-2.0076773,9.121092,9.132603,-0.50767744,0.011511508,0.51918894,9.134559,11.1505375,6.5752025,11.160868,12.684511
2,2,$2.00 ,-$3.75,$0.00 ,lost,-$3.75,1.5,1.5,1,0,1.0,1.0,12.689466,2.0,$0.00 ,16.69993,4.0104637,-2.0104635,17.219921,17.231897,-0.5104635,0.0119761415,0.52243966,17.233433,19.25007,6.560603,19.260368,20.766111
3,3,$8.00 ,-$1.33,$0.00 ,lost,-$1.33,5,1.5,1,0,1.0,2.0,20.770678,2.0,$0.00 ,24.783085,4.0124073,-2.012407,25.302576,28.304012,2.987593,3.001437,0.013844084,28.305126,30.315819,9.545141,30.609482,32.11557
4,4,$5.00 ,-$3.13,$0.00 ,lost,-$3.13,5,3,1,0,1.0,3.0,32.11939,2.0,$0.00 ,36.132957,4.013567,-2.013567,36.65272,39.652927,2.986433,3.0002038,0.013770718,39.654003,41.666077,9.546686,41.676334,44.683155
5,5,$8.00 ,-$11.00,$0.00 ,won,$8.00,1.5,1.5,1,0,1.0,4.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,$4.00 ,-$0.67,$0.00 ,lost,-$0.67,5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,$2.00 ,-$0.75,$0.00 ,lost,-$0.75,3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
﻿TrialNumber,Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,Partner,ran,order,onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,duration,ITI_onset,ITI_offset,expected_ITI,actual_ITI,ITI_drift
1,1,$2.00 ,($0.75),$0.00 ,won,$2.00 ,1.5,1.5,1,0,1.0,0.0,4.127145,1.0,6.489533,6.49334,2.3623884,0.36238834,2.3661954,7.031665,4.669276,2.6692765,8.17387,1.1338047,1.1422056,0.008400995,8.17425,1.0155097,0.015509729,9.189759,5.0626144,9.191079,10.707096,1.5,1.5160176,0.016017526
2,2,$5.00 ,($3.13),$0.00 ,lost,($3.13),1.5,1.5,1,0,1.0,1.0,12.237633,2.0,14.805444,14.805775,2.5678115,0.5678116,2.5681424,15.344523,12.776711,10.776711,16.28842,0.9318577,0.9438972,0.01203949,16.288715,1.0182786,0.018278545,17.306993,5.0693607,17.308119,18.822914,1.5,1.5147953,0.014795294
3,3,$12.00 ,($9.00),$0.00 ,lost,($9.00),5,1.5,1,0,1.0,2.0,20.355753,1.0,23.12277,23.123356,2.7670176,0.7670176,2.767602,23.661285,20.894268,18.894268,27.905413,4.232398,4.244127,0.011728762,27.90576,1.01807,0.018069938,28.92383,8.568076,28.925009,30.440762,1.5,1.5157528,0.015752781
4,4,$7.81 ,$0.00 ,$4.10 ,lost,$0.00 ,5,3,1,0,1.0,3.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
5,5,$21.43 ,$0.00 ,$13.29 ,won,$21.43 ,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
6,6,$8.80 ,$0.00 ,$3.60 ,lost,$0.00 ,5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
7,7,$5.00 ,($1.88),$0.00 ,lost,($1.88),3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
8,8,$13.35 ,$0.00 ,$1.32 ,lost,$0.00 ,1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
9,9,$4.00 ,($7.00),$0.00 ,won,$4.00 ,1.5,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
10,10,$4.00 ,($2.00),$0.00 ,won,$4.00 ,1.5,7,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
11,11,$10.00 ,($3.75),$0.00 ,lost,($3.75),5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
12,12,$10.00 ,($6.25),$0.00 ,won,$10.00 ,3,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
13,13,$6.00 ,($10.50),$0.00 ,lost,($10.50),3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
14,14,$12.00 ,($21.00),$0.00 ,won,$12.00 ,3,3,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
15,15,$6.00 ,($9.00),$0.00 ,lost,($9.00),1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
16,16,$32.00 ,$0.00 ,$0.00 ,lost,$0.00 ,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
17,17,$4.00 ,($0.67),$0.00 ,won,$4.00 ,1.5,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
18,18,$8.00 ,$0.00 ,$4.00 ,lost,$0.00 ,1.5,5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
19,19,$10.00 ,($11.25),$0.00 ,lost,($11.25),3,1.5,1,0,0.0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
