TrialNumber,Trial_num,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block,ran,order,trial_onset,bpress,cue_onset,resp_onset,stim_duration,stim_dur_drift,rt,ISI_onset,cue_duration,cue_dur_drift,ISI_offset,expected_ISI,actual_ISI,ISI_drift,outcome_onset,outcome_duration,outcome_drift,outcome_offset,trial_duration,ITI_onset,test_print,ITI_offset,expected_ITI,actual_ITI,ITI_drift,,,
1,1,0,$2.00 ,($0.75),$0.00 ,won,$2.00 ,1.5,1.5,1,1,0,4.556083,1,6.556823,6.957533,2.0007398,0.000739838,0.40071023,7.066389,0.50956637,-1.4904337,10.274709,3.1992898,3.2083194,0.009029724,10.28338,1.0002699,0.000269887,11.283649,6.7275662,11.302592,got here,12.803082,1.5,1.5004898,0.000489847,,,
2,2,0,$5.00 ,($3.13),$0.00 ,lost,($3.13),1.5,1.5,1,1,1,12.8269,1,14.82885,14.995467,2.0019505,0.001950491,0.16661704,15.105969,0.27711976,-1.7228802,18.546865,3.433383,3.4408946,0.007511694,18.555372,1.0005442,0.000544143,19.555918,6.7290177,19.574862,got here,21.076206,1.5,1.5013441,0.00134409,,,
3,3,0,$12.00 ,($9.00),$0.00 ,lost,($9.00),5,1.5,1,1,2,21.09617,2,23.101028,23.484898,2.0048587,0.004858646,0.3838698,23.59501,0.49398258,-1.5060174,30.318192,6.7161303,6.72318,0.007049817,30.340143,1.0007755,0.000775414,31.34092,10.244749,31.356623,got here,32.857826,1.5,1.501206,0.001205986,,,
4,4,0,$7.81 ,$0.00 ,$4.10 ,lost,$0.00 ,5,3,1,1,3,32.87943,2,34.882427,35.282936,2.002995,0.002994946,0.40050948,35.392315,0.5098914,-1.4901086,42.100315,6.6994905,6.7079997,0.008509004,42.1196,1.0010458,0.001045842,43.120644,10.241213,43.137856,got here,46.139076,3,3.0012214,0.001221354,,,
5,5,0,$21.43 ,$0.00 ,$13.29 ,won,$21.43 ,1.5,1.5,1,1,4,46.156647,2,48.16789,48.55189,2.011243,0.011243158,0.38400134,48.66156,0.49367195,-1.5063281,51.886074,3.2159986,3.224515,0.008516257,51.894714,1.0003071,0.00030706,52.895023,6.738376,52.913486,got here,54.41497,1.5,1.5014833,0.001483365,,,
6,6,0,$8.80 ,$0.00 ,$3.60 ,lost,$0.00 ,5,3,1,1,5,54.43521,2,56.4399,56.706913,2.004686,0.004686228,0.26701614,56.816154,0.37625462,-1.6237453,63.6573,6.832984,6.8411446,0.008160775,63.676174,1.0002741,0.000274003,64.676445,10.241236,64.694855,got here,67.69611,3,3.0012639,0.001263829,,,
7,7,0,$5.00 ,($1.88),$0.00 ,lost,($1.88),3,1.5,1,1,6,67.71472,2,69.72524,70.1096,2.0105264,0.010526303,0.3843481,70.21878,0.493536,-1.506464,74.942215,4.715652,4.723434,0.007781955,74.95854,1.000324,0.000323955,75.95887,8.244148,75.97729,got here,77.478905,1.5,1.5016187,0.001618717,,,
8,8,0,$13.35 ,$0.00 ,$1.32 ,lost,$0.00 ,1.5,5,1,1,7,77.51427,2,79.51856,79.80342,2.004295,0.004295096,0.28486264,79.9159,0.39734066,-1.6026593,83.25143,3.3151374,3.3355253,0.020387849,83.26211,1.001297,0.001296943,84.263405,6.749137,84.28212,got here,89.28326,5,5.001134,0.001133685,,,
9,9,0,$4.00 ,($7.00),$0.00 ,won,$4.00 ,1.5,3,1,1,8,89.302,1,91.31725,91.70047,2.0152538,0.015253677,0.38322082,91.80985,0.4926004,-1.5073996,95.06372,3.2167792,3.2538686,0.037089486,95.132515,1.0002267,0.000226757,96.13274,6.830739,96.146034,got here,99.147484,3,3.0014436,0.001443591,,,
10,10,0,$4.00 ,($2.00),$0.00 ,won,$4.00 ,1.5,7,1,1,9,99.162994,999,101.17632,103.13261,2.0133266,0.013326723,1.9562818,103.24326,2.066937,0.06693693,104.90937,1.6437182,1.6661104,0.022392143,104.920944,1.0011196,0.001119655,105.922066,6.759067,105.93936,got here,112.93958,7,7.0002217,0.000221738,,,
11,11,0,$10.00 ,($3.75),$0.00 ,lost,($3.75),5,5,1,1,10,112.96084,1,114.96309,115.93187,2.0022566,0.002256519,0.96877486,116.04128,1.0781876,-0.92181236,122.18035,6.131225,6.139071,0.00784603,122.19898,1.0002642,0.000264214,123.19925,10.238414,123.21807,got here,128.21921,5,5.0011444,0.001144228,,,
12,12,0,$10.00 ,($6.25),$0.00 ,won,$10.00 ,3,5,1,1,11,128.23544,1,130.23705,130.73851,2.0016098,0.001609808,0.50146395,130.8477,0.6106576,-1.3893424,135.45483,4.598536,4.6071224,0.008586527,135.46754,1.0009137,0.000913762,136.46846,8.233016,136.4869,got here,141.48772,5,5.000828,0.000827899,,,
13,13,0,$6.00 ,($10.50),$0.00 ,lost,($10.50),3,1.5,1,1,12,141.50476,1,143.50603,143.65613,2.0012722,0.001272141,0.15009604,143.76442,0.25838575,-1.7416142,148.72374,4.949904,4.959333,0.00942885,148.73738,1.0009788,0.000978845,149.73836,8.233604,149.75597,got here,151.25624,1.5,1.5002744,0.000274386,,,
14,14,0,$12.00 ,($21.00),$0.00 ,won,$12.00 ,3,3,1,1,13,151.28926,1,153.31822,153.75204,2.028966,0.028965969,0.43382585,153.92212,0.60388976,-1.3961103,158.60817,4.666174,4.6860566,0.019882662,158.63066,1.000524,0.0005241,159.6312,8.341934,159.64886,got here,162.64932,3,3.0004628,0.000462838,,,
15,15,0,$6.00 ,($9.00),$0.00 ,lost,($9.00),1.5,5,1,1,14,162.66849,1,164.67912,165.31363,2.0106328,0.010632819,0.63450176,165.42613,0.74701244,-1.2529876,168.39696,2.9654982,2.9708197,0.005321558,168.40564,1.0012337,0.001233693,169.40686,6.7383776,169.42488,got here,174.42548,5,5.0005984,0.000598461,,,
16,16,0,$32.00 ,$0.00 ,$0.00 ,lost,$0.00 ,1.5,1.5,1,1,15,174.4434,1,176.44412,176.7108,2.000722,0.000721988,0.26666993,176.81929,0.3751607,-1.6248393,180.16241,3.3333302,3.3431332,0.009803167,180.17015,1.0004923,0.000492381,181.17065,6.727248,181.18942,got here,182.69041,1.5,1.500993,0.000992976,,,
17,17,0,$4.00 ,($0.67),$0.00 ,won,$4.00 ,1.5,1.5,1,1,16,182.7073,2,184.71776,185.11671,2.010443,0.010442962,0.39895734,185.23045,0.5127063,-1.4872937,188.45193,3.2010427,3.2214718,0.02042925,188.45935,1.000427,0.000426955,189.45978,6.7524657,189.47871,got here,190.97998,1.5,1.5012718,0.001271823,,,
18,18,0,$8.00 ,$0.00 ,$4.00 ,lost,$0.00 ,1.5,5,1,1,17,190.99986,1,193.00473,193.3887,2.0048637,0.004863829,0.38397497,193.49844,0.4937104,-1.5062896,196.722,3.216025,3.2235532,0.007528247,196.73183,1.0003146,0.000314598,197.73213,6.7322683,197.75053,got here,202.7509,5,5.000371,0.000371213,,,
19,19,0,$10.00 ,($11.25),$0.00 ,lost,($11.25),3,1.5,1,1,18,202.76964,1,204.76945,204.91939,1.9998184,-0.000181609,0.14992036,205.02817,0.2587044,-1.7412956,209.98663,4.9500794,4.958468,0.0083881,210.00026,1.0009818,0.000981772,211.00125,8.231602,211.01941,got here,212.52063,1.5,1.5012246,0.0012246,,,
20,20,0,$5.00 ,($2.50),$0.00 ,lost,($2.50),3,3,1,1,19,212.53871,1,214.54533,214.81244,2.006631,0.006631,0.2670902,214.92079,0.37545514,-1.6245449,219.76393,4.8329096,4.843129,0.010219221,219.7764,1.0007446,0.000744602,220.77715,8.238437,220.79523,got here,223.79546,3,3.000229,0.000228888,,,
21,21,0,$6.00 ,($4.50),$0.00 ,won,$6.00 ,5,7,1,1,20,223.81187,1,225.82573,226.0927,2.0138595,0.013859451,0.26696548,226.2012,0.3754786,-1.6245214,233.04396,6.8330345,6.842748,0.009713716,233.06207,1.00036,0.000359991,234.06244,10.250571,234.08067,got here,241.08093,7,7.0002584,0.000258425,,,
