TrialNumber,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block
1,2,HI- O1 -- 10.67,0.00,$10.67 ,won,10.67,1.5,5,1
2,2,$2.00 ,-3.75,$0.00 ,won,2,1.5,1.5,1
3,2,$12.00 ,-9.00,$0.00 ,won,12,1.5,5,1
4,2,$25.76 ,0.00,$11.12 ,lost,0,5,7,1
5,2,$10.00 ,-3.75,$0.00 ,won,10,3,3,1
6,2,$2.00 ,-1.25,$0.00 ,lost,-1.25,3,1.5,1
7,2,$8.00 ,-13.00,$0.00 ,lost,-13,3,1.5,1
8,2,$5.00 ,-4.38,$0.00 ,won,5,1.5,1.5,1
9,2,$10.00 ,-6.25,$0.00 ,won,10,1.5,3,1
10,2,$21.43 ,0.00,$13.29 ,won,21.43,3,5,1
11,2,$2.00 ,-2.25,$0.00 ,lost,-2.25,1.5,3,1
12,2,$4.00 ,-6.00,$0.00 ,won,4,3,1.5,1
13,2,$6.00 ,-0.25,$0.00 ,won,6,1.5,1.5,1
14,2,$5.00 ,-2.50,$0.00 ,won,5,5,1.5,1
15,2,$4.00 ,-1.00,$0.00 ,lost,-1,1.5,3,1
16,2,$8.00 ,-6.00,$0.00 ,won,8,1.5,1.5,1
17,2,$26.76 ,0.00,$10.62 ,lost,0,1.5,1.5,1
18,2,$12.00 ,-15.00,$0.00 ,lost,-15,5,5,1
19,2,$8.00 ,-11.00,$0.00 ,lost,-11,1.5,5,1
20,2,$10.00 ,-1.25,$0.00 ,lost,-1.25,1.5,1.5,1
21,2,$12.00 ,-21.00,$0.00 ,lost,-21,5,7,1
22,2,$8.00 ,-3.00,$0.00 ,won,8,3,3,1
23,2,$10.00 ,-8.75,$0.00 ,lost,-8.75,5,5,1
24,2,$22.40 ,0.00,$4.80 ,lost,0,1.5,7,1
25,2,$24.92 ,0.00,$11.54 ,won,24.92,5,1.5,1
26,2,$12.00 ,-6.00,$0.00 ,won,12,3,3,1
27,2,$8.80 ,0.00,$3.60 ,won,8.8,1.5,1.5,1
28,2,$9.00 ,-9.00,$0.00 ,lost,-9,1.5,3,1
29,2,$8.00 ,-1.33,$0.00 ,won,8,1.5,7,1
30,2,$5.00 ,-6.88,$0.00 ,lost,-6.88,1.5,3,1
31,2,$16.79 ,0.00,$7.60 ,lost,0,1.5,1.5,1
32,2,$4.00 ,-2.00,$0.00 ,lost,-2,3,1.5,1
