TrialNumber,Partner,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI,ITI,block
1,0,HI- S1 --2,-0.75,$0.00 ,won,$2.00,1.5,1.5,1
2,0,$5.00 ,-3.13,$0.00 ,lost,-$3.13,1.5,1.5,1
3,0,$12.00 ,-9,$0.00 ,lost,-$9.00,5,1.5,1
4,0,$7.81 ,0,$4.10 ,lost,$0.00,5,3,1
5,0,$21.43 ,0,$13.29 ,won,$21.43,1.5,1.5,1
6,0,$8.80 ,0,$3.60 ,lost,$0.00,5,3,1
7,0,$5.00 ,-1.88,$0.00 ,lost,-$1.88,3,1.5,1
8,0,$13.35 ,0,$1.32 ,lost,$0.00,1.5,5,1
9,0,$4.00 ,-7,$0.00 ,won,$4.00,1.5,3,1
10,0,$4.00 ,-2,$0.00 ,won,$4.00,1.5,7,1
11,0,$10.00 ,-3.75,$0.00 ,lost,-$3.75,5,5,1
12,0,$10.00 ,-6.25,$0.00 ,won,$10.00,3,5,1
13,0,$6.00 ,-10.5,$0.00 ,lost,-$10.50,3,1.5,1
14,0,$12.00 ,-21,$0.00 ,won,$12.00,3,3,1
15,0,$6.00 ,-9,$0.00 ,lost,-$9.00,1.5,5,1
16,0,$32.00 ,0,$0.00 ,lost,$0.00,1.5,1.5,1
17,0,$4.00 ,-0.67,$0.00 ,won,$4.00,1.5,1.5,1
18,0,$8.00 ,0,$4.00 ,lost,$0.00,1.5,5,1
19,0,$10.00 ,-11.25,$0.00 ,lost,-$11.25,3,1.5,1
20,0,$5.00 ,-2.5,$0.00 ,lost,-$2.50,3,3,1
21,0,$6.00 ,-4.5,$0.00 ,won,$6.00,5,7,1
22,0,$22.40 ,0,$4.80 ,won,$22.40,3,3,1
23,0,$14.49 ,0,$8.75 ,won,$14.49,1.5,1.5,1
24,0,$4.00 ,-0.33,$0.00 ,won,$4.00,1.5,1.5,1
25,0,$2.00 ,-3.75,$0.00 ,won,$2.00,1.5,7,1
26,0,$9.00 ,-4.5,$0.00 ,won,$9.00,1.5,5,1
27,0,$12.00 ,-12,$0.00 ,won,$12.00,5,7,1
28,0,$12.00 ,-18,$0.00 ,lost,-$18.00,1.5,3,1
29,0,$6.00 ,-7.5,$0.00 ,lost,-$7.50,1.5,3,1
30,0,$2.00 ,-3.25,$0.00 ,won,$2.00,1.5,1.5,1
31,0,$17.38 ,0,$7.31 ,lost,$0.00,3,1.5,1
32,0,$8.00 ,-2,$0.00 ,won,$8.00,1.5,1.5,1
