Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI_o,ITI_o,block
1,$4.00,-$7.00,$0.00 ,won,$4.00,1.50,5.00,1
2,$13.00,$0.00,$6.00 ,won,$13.00,1.50,1.50,1
3,$17.00,$0.00,$9.00 ,won,$17.00,1.50,5.00,1
4,$9.00,-$13.50,$0.00 ,lost,-$13.50,5.00,7.00,1
5,$30.00,$0.00,$12.00 ,won,$30.00,3.00,3.00,1
6,$7.00,$0.00,$4.00 ,lost,$0.00,3.00,1.50,1
7,$12.00,-$24.00,$0.00 ,lost,-$24.00,3.00,1.50,1
8,$12.00,-$15.00,$0.00 ,won,$12.00,1.50,1.50,1
9,$10.00,-$16.25,$0.00 ,won,$10.00,1.50,3.00,1
10,$5.00,-$3.13,$0.00 ,won,$5.00,3.00,5.00,1
11,$2.00,-$0.75,$0.00 ,lost,-$0.75,1.50,3.00,1
12,$12.00,-$18.00,$0.00 ,won,$12.00,3.00,1.50,1
13,$10.00,-$11.25,$0.00 ,won,$10.00,1.50,1.50,1
14,$2.00,-$1.25,$0.00 ,won,$2.00,5.00,1.50,1
15,$12.00,-$3.00,$0.00 ,lost,-$3.00,1.50,3.00,1
16,$10.00,$0.00,$6.00 ,won,$10.00,1.50,1.50,1
17,$6.00,-$6.00,$0.00 ,lost,-$6.00,1.50,1.50,1
18,$4.00,$0.00,$2.00 ,lost,$0.00,5.00,5.00,1
19,$2.00,-$2.75,$0.00 ,lost,-$2.75,1.50,5.00,1
20,$11.00,$0.00,$6.00 ,lost,$0.00,1.50,1.50,1
21,$2.00,-$1.75,$0.00 ,lost,-$1.75,5.00,7.00,1
22,$8.00,-$5.00,$0.00 ,won,$8.00,3.00,3.00,1
23,$8.00,-$7.00,$0.00 ,lost,-$7.00,5.00,5.00,1
24,$5.00,-$2.50,$0.00 ,lost,-$2.50,1.50,7.00,1
25,$8.00,-$15.00,$0.00 ,won,$8.00,5.00,1.50,1
26,$6.00,-$3.00,$0.00 ,won,$6.00,3.00,3.00,1
27,$2.00,-$3.25,$0.00 ,won,$2.00,1.50,1.50,1
28,$2.00,-$2.25,$0.00 ,lost,-$2.25,1.50,3.00,1
29,$25.00,$0.00,$9.00 ,won,$25.00,1.50,7.00,1
30,$8.00,-$6.00,$0.00 ,lost,-$6.00,1.50,3.00,1
31,$6.00,-$7.50,$0.00 ,lost,-$7.50,1.50,1.50,1
32,$19.00,$0.00,$8.00 ,lost,$0.00,3.00,1.50,1
33,$3.25,$0.00,$1.00 ,lost,$0.00,3.00,1.50,2
34,$9.00,-$0.75,$0.00 ,lost,-$0.75,3.00,5.00,2
35,$9.00,-$11.25,$0.00 ,won,$9.00,1.50,1.50,2
36,$4.00,$0.00,$2.25 ,lost,$0.00,1.50,3.00,2
37,$5.00,$0.00,$2.00 ,lost,$0.00,1.50,7.00,2
38,$5.00,-$1.88,$0.00 ,won,$5.00,5.00,3.00,2
39,$8.00,$0.00,$4.25 ,lost,$0.00,5.00,1.50,2
40,$8.00,-$2.00,$0.00 ,won,$8.00,5.00,5.00,2
41,$8.00,-$11.00,$0.00 ,lost,-$11.00,1.50,3.00,2
42,$4.00,-$5.00,$0.00 ,lost,-$5.00,5.00,3.00,2
43,$10.00,-$13.75,$0.00 ,lost,-$13.75,1.50,1.50,2
44,$28.00,$0.00,$13.00 ,won,$28.00,3.00,1.50,2
45,$17.00,$0.00,$10.00 ,won,$17.00,1.50,1.50,2
46,$8.00,-$9.00,$0.00 ,lost,-$9.00,1.50,5.00,2
47,$12.00,-$12.00,$0.00 ,lost,-$12.00,1.50,5.00,2
48,$10.00,$0.00,$1.90 ,won,$10.00,1.50,1.50,2
49,$2.00,-$3.75,$0.00 ,won,$2.00,1.50,3.00,2
