Trial_num,risky_gain,risky_loss,alt_certain,task_gamble_outcome,task_gamble_amount,ISI_s,ITI_s,block,Partner
1,$4.00 ,-$7.00,$0.00 ,won,$4.00,1.5,1.5,1,0
2,$2.00 ,-$3.75,$0.00 ,lost,-$3.75,1.5,1.5,1,0
3,$8.00 ,-$1.33,$0.00 ,lost,-$1.33,5,1.5,1,0
4,$5.00 ,-$3.13,$0.00 ,lost,-$3.13,5,3,1,0
5,$8.00 ,-$11.00,$0.00 ,won,$8.00,1.5,1.5,1,0
6,$4.00 ,-$0.67,$0.00 ,lost,-$0.67,5,3,1,0
7,$2.00 ,-$0.75,$0.00 ,lost,-$0.75,3,1.5,1,0
8,$7.00 ,$0.00,$3.00 ,lost,$0.00,1.5,5,1,0
9,$12.00 ,-$21.00,$0.00 ,won,$12.00,1.5,3,1,0
10,$12.00 ,-$3.00,$0.00 ,won,$12.00,1.5,7,1,0
11,$8.00 ,-$5.00,$0.00 ,lost,-$5.00,5,5,1,0
12,$9.00 ,-$4.50,$0.00 ,won,$9.00,3,5,1,0
13,$8.00 ,-$3.00,$0.00 ,lost,-$3.00,3,1.5,1,0
14,$12.00 ,-$9.00,$0.00 ,won,$12.00,3,3,1,0
15,$5.00 ,$0.00,$2.00 ,lost,$0.00,1.5,5,1,0
16,$28.00 ,$0.00,$13.00 ,lost,$0.00,1.5,1.5,1,0
17,$4.00 ,-$5.00,$0.00 ,won,$4.00,1.5,1.5,1,0
18,$10.00 ,-$8.75,$0.00 ,lost,-$8.75,1.5,5,1,0
19,$13.00 ,$0.00,$6.00 ,lost,$0.00,3,1.5,1,0
20,$4.00 ,-$6.00,$0.00 ,lost,-$6.00,3,3,1,0
21,$5.00 ,-$5.00,$0.00 ,won,$5.00,5,7,1,0
22,$25.00 ,$0.00,$6.25 ,won,$25.00,3,3,1,0
23,$2.00 ,-$1.75,$0.00 ,won,$2.00,1.5,1.5,1,0
24,$6.00 ,-$7.50,$0.00 ,won,$6.00,1.5,1.5,1,0
25,$7.00 ,$0.00,$4.00 ,won,$7.00,1.5,7,1,0
26,$19.00 ,$0.00,$8.00 ,won,$19.00,1.5,5,1,0
27,$3.25 ,$0.00,$1.00 ,won,$3.25,5,7,1,0
28,$8.00 ,-$7.00,$0.00 ,lost,-$7.00,1.5,3,1,0
29,$11.00 ,$0.00,$6.00 ,lost,$0.00,1.5,3,1,0
30,$4.00 ,-$2.00,$0.00 ,won,$4.00,1.5,1.5,1,0
31,$10.00 ,$0.00,$6.00 ,lost,$0.00,3,1.5,1,0
32,$22.00 ,$0.00,$13.00 ,won,$22.00,1.5,1.5,1,0
33,$4.00 ,-$0.33,$0.00 ,won,$4.00,5,1.5,2,0
34,$17.00 ,$0.00,$10.00 ,lost,$0.00,1.5,5,2,0
35,$26.00 ,$0.00,$10.00 ,won,$26.00,1.5,3,2,0
36,$5.00 ,-$8.13,$0.00 ,won,$5.00,5,1.5,2,0
37,$2.00 ,-$3.25,$0.00 ,lost,-$3.25,1.5,1.5,2,0
38,$5.00 ,-$2.50,$0.00 ,won,$5.00,3,1.5,2,0
39,$6.00 ,-$12.00,$0.00 ,won,$6.00,3,5,2,0
40,$8.00 ,-$13.00,$0.00 ,lost,-$13.00,1.5,3,2,0
41,$6.00 ,-$1.50,$0.00 ,won,$6.00,5,1.5,2,0
42,$22.00 ,$0.00,$10.00 ,lost,$0.00,1.5,7,2,0
43,$10.00 ,$0.00,$1.90 ,won,$10.00,3,3,2,0
44,$5.00 ,-$5.63,$0.00 ,won,$5.00,1.5,5,2,0
45,$4.00 ,-$1.00,$0.00 ,lost,-$1.00,3,1.5,2,0
46,$13.00 ,$0.00,$5.00 ,lost,$0.00,1.5,3,2,0
47,$10.00 ,-$0.42,$0.00 ,won,$10.00,1.5,1.5,2,0
48,$10.00 ,-$16.25,$0.00 ,won,$10.00,1.5,7,2,0
49,$8.00 ,$0.00,$4.25 ,lost,$0.00,5,1.5,2,0
